bucket_id,layer,parent_bucket_id,n_train,n_val,pos_rate_train,pos_rate_val,alpha,beta,regret_val,F1_val,Precision_val,Recall_val,BND_ratio_val,pos_coverage_val,threshold_n_samples,use_parent_threshold,parent_with_threshold,score_metric,score_value,parent_score_value,gain_value,threshold_source_bucket,is_weak,fold
ROOT,L1,,14000,6000,0.4702142857142857,0.4701666666666667,0.2,0.1,0.5240833333333333,0.6439420289855072,0.4784631288766368,0.9844026940801134,0.030166666666666668,0.9673333333333334,6000,False,,f1_regret_bnd,0.10477536231884055,-0.5240833333333333,0.6288586956521739,ROOT,False,1
L1_age=mid_age,L1,ROOT,3943,1628,0.4390058331219883,0.4398034398034398,0.2,0.1,0.5420761670761671,0.6092964824120602,0.5536529680365296,0.6773743016759777,0.4619164619164619,0.538083538083538,1628,True,,f1_regret_bnd,-0.16373791562233783,0.10477536231884055,-0.2685132779411784,ROOT,True,1
L1_age=oldest,L1,ROOT,2911,1294,0.48436963242871867,0.4752704791344668,0.2,0.0,0.5235703245749613,0.6451271186440678,0.4783974862529458,0.9902439024390244,0.01622874806800618,0.9837712519319938,1294,False,,f1_regret_bnd,0.11344242003510338,0.10477536231884055,0.008667057716262833,L1_age=oldest,False,1
L1_age=young_old,L1,ROOT,7146,3078,0.4816680660509376,0.48408057179987,0.2,0.1,0.5115334632878492,0.6551034022681788,0.48985700033255736,0.9885906040268456,0.02079272254710851,0.9769330734243015,3078,False,,f1_regret_bnd,0.1331735777067753,0.10477536231884055,0.028398215387934744,L1_age=young_old,False,1
L1_age=mid_age|L2_medical_specialty=Cardio,L2,L1_age=mid_age,233,90,0.37339055793991416,0.43333333333333335,0.3,0.0,0.55,0.6078431372549019,0.49206349206349204,0.7948717948717948,0.3,0.7,90,False,,f1_regret_bnd,-0.09215686274509813,-0.16373791562233783,0.0715810528772397,L1_age=mid_age|L2_medical_specialty=Cardio,False,1
L1_age=mid_age|L2_medical_specialty=InternalMed,L2,L1_age=mid_age,545,231,0.43119266055045874,0.44155844155844154,0.3,0.1,0.5324675324675324,0.6268656716417911,0.5060240963855421,0.8235294117647058,0.27705627705627706,0.7186147186147186,231,False,,f1_regret_bnd,-0.04412999935387987,-0.16373791562233783,0.11960791626845796,L1_age=mid_age|L2_medical_specialty=InternalMed,False,1
L1_age=mid_age|L2_medical_specialty=Others,L2,L1_age=mid_age,2351,962,0.45087196937473417,0.4386694386694387,0.4,0.2,0.5343035343035343,0.615859938208033,0.5446265938069217,0.7085308056872038,0.369022869022869,0.5706860706860707,962,False,,f1_regret_bnd,-0.10295503060693581,-0.16373791562233783,0.06078288501540202,L1_age=mid_age|L2_medical_specialty=Others,False,1
L1_age=mid_age|L2_medical_specialty=PrimaryCare,L2,L1_age=mid_age,331,139,0.5015105740181269,0.4028776978417266,0.3,0.0,0.5827338129496403,0.5764705882352942,0.4298245614035088,0.875,0.17985611510791366,0.8201438848920863,139,False,,f1_regret_bnd,-0.09619128226830298,-0.16373791562233783,0.06754663335403485,L1_age=mid_age|L2_medical_specialty=PrimaryCare,False,1
L1_age=mid_age|L2_medical_specialty=Surgery_Trauma,L2,L1_age=mid_age,483,206,0.37888198757763975,0.470873786407767,0.4,0.0,0.5145631067961165,0.6467661691542289,0.625,0.6701030927835051,0.49514563106796117,0.5048543689320388,206,False,,f1_regret_bnd,-0.11536975317586817,-0.16373791562233783,0.04836816244646966,L1_age=mid_age|L2_medical_specialty=Surgery_Trauma,False,1
L1_age=oldest|L2_medical_specialty=Cardio,L2,L1_age=oldest,114,53,0.5350877192982456,0.4339622641509434,0.2,0.0,0.5660377358490566,0.6052631578947368,0.4339622641509434,1.0,0.0,1.0,53,True,L1_age=oldest,f1_regret_bnd,0.03922542204568025,0.11344242003510338,-0.07421699798942313,L1_age=oldest,True,1
L1_age=oldest|L2_medical_specialty=InternalMed,L2,L1_age=oldest,467,201,0.4089935760171306,0.4129353233830846,0.2,0.0,0.554726368159204,0.5951219512195122,0.5,0.7349397590361446,0.39303482587064675,0.6069651741293532,201,True,L1_age=oldest,f1_regret_bnd,-0.15612182987501516,0.11344242003510338,-0.2695642499101185,L1_age=oldest,True,1
L1_age=oldest|L2_medical_specialty=Others,L2,L1_age=oldest,1719,756,0.493891797556719,0.48544973544973546,0.2,0.0,0.5105820105820106,0.6570657065706571,0.4905913978494624,0.9945504087193461,0.015873015873015872,0.9841269841269841,756,False,,f1_regret_bnd,0.1385471880521386,0.11344242003510338,0.025104768017035206,L1_age=oldest|L2_medical_specialty=Others,False,1
L1_age=oldest|L2_medical_specialty=PrimaryCare,L2,L1_age=oldest,227,112,0.45374449339207046,0.5,0.1,0.0,0.5,0.6666666666666666,0.5,1.0,0.0,1.0,112,False,,f1_regret_bnd,0.16666666666666663,0.11344242003510338,0.05322424663156325,L1_age=oldest|L2_medical_specialty=PrimaryCare,False,1
L1_age=oldest|L2_medical_specialty=Surgery_Trauma,L2,L1_age=oldest,384,172,0.5364583333333334,0.5,0.2,0.0,0.4941860465116279,0.671875,0.5058823529411764,1.0,0.011627906976744186,0.9883720930232558,172,False,,f1_regret_bnd,0.171875,0.11344242003510338,0.05843257996489662,L1_age=oldest|L2_medical_specialty=Surgery_Trauma,False,1
L1_age=young_old|L2_medical_specialty=Cardio,L2,L1_age=young_old,447,214,0.4407158836689038,0.48130841121495327,0.2,0.1,0.5186915887850467,0.6498422712933754,0.48130841121495327,1.0,0.0,1.0,214,True,L1_age=young_old,f1_regret_bnd,0.13115068250832862,0.1331735777067753,-0.0020228951984466725,L1_age=young_old,True,1
L1_age=young_old|L2_medical_specialty=InternalMed,L2,L1_age=young_old,960,459,0.471875,0.477124183006536,0.2,0.1,0.5163398692810458,0.6517857142857143,0.48344370860927155,1.0,0.013071895424836602,0.9869281045751634,459,True,L1_age=young_old,f1_regret_bnd,0.1289098972922502,0.1331735777067753,-0.004263680414525101,L1_age=young_old,True,1
L1_age=young_old|L2_medical_specialty=Others,L2,L1_age=young_old,4378,1847,0.481498401096391,0.4894423389279913,0.2,0.1,0.5064970221981592,0.6595273264401773,0.4950110864745011,0.9878318584070797,0.02057390362750406,0.9767190037899296,1847,False,,f1_regret_bnd,0.1427433524282661,0.1331735777067753,0.009569774721490815,L1_age=young_old|L2_medical_specialty=Others,False,1
L1_age=young_old|L2_medical_specialty=PrimaryCare,L2,L1_age=young_old,521,194,0.54510556621881,0.5257731958762887,0.1,0.0,0.4742268041237113,0.6891891891891893,0.5257731958762887,1.0,0.0,1.0,194,False,,f1_regret_bnd,0.21496238506547793,0.1331735777067753,0.08178880735870264,L1_age=young_old|L2_medical_specialty=PrimaryCare,False,1
L1_age=young_old|L2_medical_specialty=Surgery_Trauma,L2,L1_age=young_old,840,364,0.47619047619047616,0.44505494505494503,0.2,0.1,0.5288461538461539,0.6214099216710183,0.5384615384615384,0.7345679012345679,0.3516483516483517,0.6071428571428571,364,True,L1_age=young_old,f1_regret_bnd,-0.08326040799931142,0.1331735777067753,-0.2164339857060867,L1_age=young_old,True,1
L1_age=mid_age|L2_medical_specialty=Cardio|L3_time_in_hospital=short_stay,L3,L1_age=mid_age|L2_medical_specialty=Cardio,150,66,0.36666666666666664,0.4393939393939394,0.3,0.0,0.5378787878787878,0.6197183098591549,0.5238095238095238,0.7586206896551724,0.36363636363636365,0.6363636363636364,66,True,L1_age=mid_age|L2_medical_specialty=Cardio,f1_regret_bnd,-0.09997865983781479,-0.09215686274509813,-0.007821797092716659,L1_age=mid_age|L2_medical_specialty=Cardio,True,1
L1_age=mid_age|L2_medical_specialty=Cardio|L3_time_in_hospital=others,L3,L1_age=mid_age|L2_medical_specialty=Cardio,83,24,0.3855421686746988,0.4166666666666667,0.3,0.0,0.4252336448598131,0.6851851851851851,0.5606060606060606,0.8809523809523809,0.16822429906542055,0.616822429906542,107,True,L1_age=mid_age|L2_medical_specialty=Cardio,f1_regret_bnd,,-0.09215686274509813,,L1_age=mid_age|L2_medical_specialty=Cardio,True,1
L1_age=mid_age|L2_medical_specialty=InternalMed|L3_time_in_hospital=long_stay,L3,L1_age=mid_age|L2_medical_specialty=InternalMed,77,30,0.5064935064935064,0.5,0.3,0.1,0.4205607476635514,0.746031746031746,0.6527777777777778,0.8703703703703703,0.2616822429906542,0.6728971962616822,107,True,L1_age=mid_age|L2_medical_specialty=InternalMed,f1_regret_bnd,,-0.04412999935387987,,L1_age=mid_age|L2_medical_specialty=InternalMed,True,1
L1_age=mid_age|L2_medical_specialty=InternalMed|L3_time_in_hospital=mid_stay,L3,L1_age=mid_age|L2_medical_specialty=InternalMed,187,71,0.45989304812834225,0.4225352112676056,0.3,0.1,0.4647887323943662,0.6808510638297872,0.9411764705882353,0.5333333333333333,0.704225352112676,0.23943661971830985,71,True,L1_age=mid_age|L2_medical_specialty=InternalMed,f1_regret_bnd,-0.13605034462091697,-0.04412999935387987,-0.0919203452670371,L1_age=mid_age|L2_medical_specialty=InternalMed,True,1
L1_age=mid_age|L2_medical_specialty=InternalMed|L3_time_in_hospital=short_stay,L3,L1_age=mid_age|L2_medical_specialty=InternalMed,281,130,0.3914590747330961,0.43846153846153846,0.3,0.1,0.5230769230769231,0.6382978723404255,0.5357142857142857,0.7894736842105263,0.35384615384615387,0.6461538461538462,130,True,L1_age=mid_age|L2_medical_specialty=InternalMed,f1_regret_bnd,-0.061702127659574585,-0.04412999935387987,-0.017572128305694712,L1_age=mid_age|L2_medical_specialty=InternalMed,True,1
L1_age=mid_age|L2_medical_specialty=PrimaryCare|L3_time_in_hospital=mid_stay,L3,L1_age=mid_age|L2_medical_specialty=PrimaryCare,117,42,0.49572649572649574,0.42857142857142855,0.3,0.0,0.46226415094339623,0.6934673366834171,0.5609756097560976,0.9078947368421053,0.16981132075471697,0.7735849056603774,159,True,L1_age=mid_age|L2_medical_specialty=PrimaryCare,f1_regret_bnd,,-0.09619128226830298,,L1_age=mid_age|L2_medical_specialty=PrimaryCare,True,1
L1_age=mid_age|L2_medical_specialty=PrimaryCare|L3_time_in_hospital=short_stay,L3,L1_age=mid_age|L2_medical_specialty=PrimaryCare,178,84,0.47191011235955055,0.35714285714285715,0.3,0.0,0.6011904761904762,0.5135135135135135,0.4318181818181818,0.6333333333333333,0.4166666666666667,0.5238095238095238,84,True,L1_age=mid_age|L2_medical_specialty=PrimaryCare,f1_regret_bnd,-0.29601029601029605,-0.09619128226830298,-0.19981901374199307,L1_age=mid_age|L2_medical_specialty=PrimaryCare,True,1
