bucket_id,layer,parent_bucket_id,n_train,n_val,pos_rate_train,pos_rate_val,alpha,beta,regret_val,F1_val,Precision_val,Recall_val,BND_ratio_val,pos_coverage_val,use_parent_threshold,threshold_n_samples,n_all,pos_rate_all,BAC_val,AUC_val,cost_source,score_metric,score_value,parent_score_value,gain_value,is_weak,threshold_source_bucket,use_gain_weak_backoff,threshold_data_source,parent_with_threshold
ROOT,L1,,14245,6104,0.11175851175851176,0.10992791612057667,0.4,0.2,0.39474115334207077,0.09226594301221167,0.5151515151515151,0.05067064083457526,0.08863040629095675,0.010812581913499346,False,6104,101766,0.11159915885462728,0.4841978273195516,0.6614169686107116,global_default,f1_regret_bnd,-0.3467904134753375,-0.39934490664919753,0.05255449317386002,False,ROOT,True,val,
L1_number_inpatient=no_prev_inpt,L1,ROOT,12221,5207,0.09230013910481957,0.09122335317841368,0.4,0.2,0.34847320914154023,0.008368200836820085,0.6666666666666666,0.004210526315789474,0.03303245630881506,0.0005761474937584022,True,5207,87151,0.09442232447131989,0.4887916536904391,0.6446425234684343,global_default,f1_regret_bnd,-0.35662123645912763,-0.3467904134753375,-0.009830822983790122,True,ROOT,True,val,
L1_number_inpatient=no_prev_inpt|L2_number_emergency=no_prev_er,L2,L1_number_inpatient=no_prev_inpt,11952,5207,0.09312248995983936,0.09333589398886115,0.4,0.2,0.3609564048396389,0.004106776180698153,1.0,0.00205761316872428,0.027847128864989436,0.00019204916458613405,True,5207,85236,0.09330564550190061,0.4896964617421677,0.6350506405579484,global_default,f1_regret_bnd,-0.37077319309143547,-0.35662123645912763,-0.014151956632307838,True,ROOT,True,val,
L1_number_inpatient=no_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=Home,L3,L1_number_inpatient=no_prev_inpt|L2_number_emergency=no_prev_er,36282,15393,0.0748029325836503,0.07483921262911714,0.4,0.3,0.29935685051646854,0.0,0.0,0.0,0.0,0.0,False,15393,51675,0.0748137397194001,0.5,0.6032617030541706,global_default,f1_regret_bnd,-0.29935685051646854,-0.37077319309143547,0.07141634257496693,False,L1_number_inpatient=no_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=Home,True,val,
L1_number_inpatient=no_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=Transfer,L3,L1_number_inpatient=no_prev_inpt|L2_number_emergency=no_prev_er,17394,7474,0.12142117971714385,0.12817768263312818,0.4,0.2,0.4808001070377308,0.04687499999999999,0.36363636363636365,0.025052192066805846,0.60998126839711,0.008830612791008831,True,7474,24868,0.1234518256393759,0.21349294686213222,0.6219157340018019,global_default,f1_regret_bnd,-0.7389157412362858,-0.37077319309143547,-0.3681425481448503,True,ROOT,True,val,
L1_number_inpatient=few_prev_inpt,L1,ROOT,1510,914,0.18344370860927153,0.16958424507658643,0.4,0.2,0.5727571115973742,0.03680981595092025,0.375,0.01935483870967742,0.9452954048140044,0.0087527352297593,True,914,10977,0.18320123895417692,0.035369118959581794,0.5578137617408305,global_default,f1_regret_bnd,-1.008594998053456,-0.3467904134753375,-0.6618045845781186,True,ROOT,True,val,
L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er,L2,L1_number_inpatient=few_prev_inpt,1577,699,0.16677235256816741,0.15450643776824036,0.3,0.1,0.5157367668097281,0.13740458015267176,0.391304347826087,0.08333333333333333,0.8497854077253219,0.032904148783977114,False,699,10033,0.1819994019734875,0.11104060913705582,0.6478818073572727,global_default,f1_regret_bnd,-0.8032248905197172,-1.008594998053456,0.20537010753373885,False,L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er,True,val,
L1_number_inpatient=no_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=OtherDisp,L3,L1_number_inpatient=no_prev_inpt|L2_number_emergency=no_prev_er,4811,2052,0.13884847225109126,0.14035087719298245,0.4,0.2,0.4100877192982456,0.1741741741741742,0.6444444444444445,0.10069444444444445,0.17348927875243664,0.021929824561403508,False,2052,6863,0.13929768322890865,0.4763676303854875,0.7479076121189216,global_default,f1_regret_bnd,-0.3226581845002897,-0.37077319309143547,0.04811500859114576,False,L1_number_inpatient=no_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=OtherDisp,True,val,
L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=Home,L3,L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er,3416,1549,0.17066744730679156,0.16914138153647515,0.3,0.1,0.5784377017430601,0.014925373134328356,0.3333333333333333,0.007633587786259542,0.9703034215622982,0.003873466752743706,True,1549,4965,0.1701913393756294,0.018191308267644146,0.5827743079651476,global_default,f1_regret_bnd,-1.0486640393898807,-0.8032248905197172,-0.2454391488701635,True,L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er,True,val,L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er
L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=Transfer,L3,L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er,2610,1209,0.19846743295019156,0.19106699751861042,0.3,0.1,0.5926385442514475,0.03333333333333333,0.4444444444444444,0.017316017316017316,0.9834574028122415,0.007444168734491315,True,1209,3819,0.19612463995810422,0.013770483095636471,0.529484149116051,global_default,f1_regret_bnd,-1.051033912324235,-0.8032248905197172,-0.2478090218045177,True,L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er,True,val,L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er
